Model,Accuracy,BalancedAcc,Precision,Recall,F1,TSS,HSS,BS,BSS,AUC
RandomForest,0.7892889667956158,0.69117632899679,0.6363477269843499,0.48208268644701285,0.5475719455079221,0.3823526579935802,0.41391220007901824,0.14481625217539604,0.25716170378477754,0.8237101237861445
SVM_RBF,0.7902838894261767,0.7343930392549634,0.6034976214766536,0.6152895175665575,0.6088451886881854,0.4687860785099269,0.4656977284598338,0.14302651693123833,0.266339905005333,0.8259745475402693
Conv1D,0.7414482591876209,0.7413041128552453,0.510617110278393,0.7410068426197458,0.603165387726988,0.48260822571049067,0.42146604149472894,0.1716817614869276,0.11934800314316112,0.8254184495921784
